City01_Mateus#001,"Você não é daqui, né? Consigo sentir o cheiro de mijo escorrendo em suas coxas, seu paspalhão."
CoolPalace01_Guard#001,Bom dia.
ShadowRealm09_DevilHimself#001,Porra.
Banana01_Cu#001,mamãe
Banana01_Cu#002,papai
Banana01_Cu#003,merda
Banana01_Cu#004,cu
Banana01_Cu#005,preguiça
Banana01_Cu#006,mistério
Banana01_Cu#007,brilhando
Banana01_Cu#008,justiça
Banana01_Cu#009,amor
Banana01_Cu#010,relógio
Banana01_Cu#011,energia
Banana01_Cu#012,drinque
Banana01_Cu#013,legal
Banana01_Cu#014,cocô
Banana01_Cu#015,maçã
Banana01_Cu#016,uva
Banana01_Cu#017,velocidade
Banana01_Cu#018,laranja
Banana01_Cu#019,semente
Banana01_Cu#020,tabela
